,video_id,video_path,begin_frame,end_frame,captions,subject,predicate,object
59856,v_ZW46Rcuhqac,https://www.youtube.com/watch?v=ZW46Rcuhqac,0.0,5.37,Beer and other alcohol is shown on a counter in a kitchen.,alcohol,in,kitchen
24756,v_ojQdrhHT_gE,https://www.youtube.com/watch?v=ojQdrhHT_gE,0.0,95.9, People are constantly driving their bumper cars and bumping into things until the ride is over.,people,bump into,things
41803,v_mSPUMHD4F-E,https://www.youtube.com/watch?v=mSPUMHD4F-E,102.58,164.47,"A different woman appears near a wall and she's demonstrating how to cut tiles once a wall is reached and uses a long ruler to measure, cut, and break apart the carpet tile and places it back onto the floor.",woman,is,different
31873,v_1DvNkSGk-JA,https://www.youtube.com/watch?v=1DvNkSGk-JA,51.28,67.47," He is water skiing over a long lake, trying to remain upright.",man,ski over,lake
47370,v_sjyZWmvTGA4,https://www.youtube.com/watch?v=sjyZWmvTGA4,0.54,27.34,Several men are blowing leaves in front of a home.,men,in front of,home
30780,v_Q6SooTA1os4,https://www.youtube.com/watch?v=Q6SooTA1os4,22.82,24.58, The dog hops out of the tub and one of the men dries him off.,dog,hop out of,tub
55335,v_n-i9nC6vxu0,https://www.youtube.com/watch?v=n-i9nC6vxu0,0.0,94.81,A body of water is shown below the trees.,water,show,trees
66768,v_MZQmJZ_31O0,https://www.youtube.com/watch?v=MZQmJZ_31O0,83.93,107.43, The lady spins the hoop on her hand then transfers it to her leg stretched upward and we see her in the gold hoops again.,hoop,on,hand
9093,v_8PkoDfbK5Bc,https://www.youtube.com/watch?v=8PkoDfbK5Bc,12.61,26.8,A person is doing flips on a stage in front of people.,person,flip on,stage
9844,v_6B3qNzgqnpc,https://www.youtube.com/watch?v=6B3qNzgqnpc,17.94,36.25, The canoe keeps floating while various bird are shown sitting in the water as well as the trees.,canoe,keep,floating
6358,v_k3nRbFeancA,https://www.youtube.com/watch?v=k3nRbFeancA,0.0,66.97,The video shows various clips of sumo wrestlers fighting in a ring while a referee and audience looks on.,referee,look on,audience
58248,v_yxZ4ouqcld4,https://www.youtube.com/watch?v=yxZ4ouqcld4,57.67,118.76, Several people get interviewed during the race.,people,get,interviewed
7731,v_BvACPvbUq1k,https://www.youtube.com/watch?v=BvACPvbUq1k,1.45,13.07,A person is seen shoveling up some snow with the camera laid on his head.,camera,lay on,head
2307,v_MBouLt-hXDU,https://www.youtube.com/watch?v=MBouLt-hXDU,0.0,52.69,"Cake chemistry explaining how to do a at home experiment, They give all the ingredients needed and begin to explain what they will be doing.",ingredients,is,needed
50595,v_Yg6jFRYIyXw,https://www.youtube.com/watch?v=Yg6jFRYIyXw,48.62,91.1, The man shovels snow from  a stair case with a snow shovel.,man,on,staircase
54614,v_jIsGq431gBs,https://www.youtube.com/watch?v=jIsGq431gBs,199.53,230.67, They all stop to have lunch under an outdoor pavilion at the end of their adventure.,people,stop to,have lunch
51131,v_JA-B3KK9A-I,https://www.youtube.com/watch?v=JA-B3KK9A-I,92.83,129.73," A man goes into the water feet first, lands at the bottom of the deep pool, then drops to do a push up and then quickly shoots up.",man,land at bottom of,pool
61264,v_3S_aifr5rG4,https://www.youtube.com/watch?v=3S_aifr5rG4,26.82,29.05, The camera zooms in to shows the horse' nose and then the woman climbs onto the horse's saddle to ride it somewhere.,horse,have,nose
57297,v_jQU4NYJzxco,https://www.youtube.com/watch?v=jQU4NYJzxco,0.0,66.88,The taller child moves dishes from the right side of the sink to the left side of the sink one by one while the smaller child holds onto an orange bottle brush and doesn't move any dishes.,bottle brush,is,orange
4086,v_hJn5L1nrkL4,https://www.youtube.com/watch?v=hJn5L1nrkL4,48.8,57.29, The player in blue cheers loudly after his winning point and breaks into a dance.,player,after,point
10005,v_HiEClhlj5_A,https://www.youtube.com/watch?v=HiEClhlj5_A,47.2,111.41, They race to put the paper on a long wall and photographs of men measuring the wall follow.,photographs,on,wall
23558,v_UzdI8PLRiXg,https://www.youtube.com/watch?v=UzdI8PLRiXg,68.5,220.96, The metal is used to sharpen a knife in front of him.,knife,in front of,him
19097,v_VTFIAQVjHv8,https://www.youtube.com/watch?v=VTFIAQVjHv8,6.73,18.26,  A stop start animation with a desk calendar is shown with flip animation drawings blending into framed animation leading to the title of the group and the skateboard tutorial they are about to explain.,desk,have,calendar
36939,v_ATBbNtNlBnY,https://www.youtube.com/watch?v=ATBbNtNlBnY,108.96,119.15, We see the item comes with a 7 year warranty.,warranty,is,7
42945,v_IVHmmp3Nsd4,https://www.youtube.com/watch?v=IVHmmp3Nsd4,171.07,202.46, She stands by her finished work as paint drips in lines down the canvas.,work,is,finished
46930,v_j82E082KJSw,https://www.youtube.com/watch?v=j82E082KJSw,25.42,54.31, The players dive up high to throw the ball across the net to their opposing team.,players,dive up,net
45899,v_wZEf-Bs__sU,https://www.youtube.com/watch?v=wZEf-Bs__sU,0.0,26.9,A group of athletes are on a track outside.,athletes,on,track
30882,v_GwmpYLRpJQw,https://www.youtube.com/watch?v=GwmpYLRpJQw,125.56,130.14, a snow house with kids playing is shown.,kids,play in,snow house
34037,v_QQQ7jSVSG3A,https://www.youtube.com/watch?v=QQQ7jSVSG3A,192.69,209.44," They drop the scarves, focusing solely on the dance before dropping to the ground, then rising and dancing off stage.",scarves,is,2
39813,v_sA8fmJulHMs,https://www.youtube.com/watch?v=sA8fmJulHMs,27.38,68.71, He sucks down the cigarette all the way down to the bud.,man,suck down,cigarette
70117,v_iZlG0UOtImQ,https://www.youtube.com/watch?v=iZlG0UOtImQ,83.44,125.56,"The boy goes around the table and continues to hit the remaining balls into the holes, the crowd cheers him on, and he goes around the crowd and gives everyone high fives.",balls,is,remaining
55653,v_MyMYuXh8E0Y,https://www.youtube.com/watch?v=MyMYuXh8E0Y,117.7,212.77, The two men show off signs that insult each other and try to make each other laugh.,men,try to make,laugh
27813,v_cMndipw7_As,https://www.youtube.com/watch?v=cMndipw7_As,7.7,102.82, A person mends steel with a welding equipment.,person,with,welding equipment
32136,v_l5xW6UZWwBs,https://www.youtube.com/watch?v=l5xW6UZWwBs,12.29,16.69, There two other men standing a few yards away with their cue sticks.,cue sticks,is,2
60928,v_ktfxYSZjJyM,https://www.youtube.com/watch?v=ktfxYSZjJyM,0.09,18.74,woman is in a lake windsurfing with a red windsurf.,woman,windsurf with,red
66510,v_Snw8Jf1DQwg,https://www.youtube.com/watch?v=Snw8Jf1DQwg,0.0,5.06,A screenshot of a woman wearing a blue jumpsuit is standing in a pose holding two batons and white words on the middle of the screen say 2 Baton Nicole.,baton,is,batons
52171,v_oeFUzyNgxQU,https://www.youtube.com/watch?v=oeFUzyNgxQU,0.0,126.04,We see men on a stage walking on a slack line as two other men film the event.,men,on,stage
59536,v_fxyqt18d-jo,https://www.youtube.com/watch?v=fxyqt18d-jo,87.7,104.5,"  The man bites into the sandwich, begins talking again, slams the sandwich down on a plate and walks off.",man,walk off,plate
29305,v_nUghBtcrTPA,https://www.youtube.com/watch?v=nUghBtcrTPA,70.77,128.68, They are taking swings and hits as well as kicks at each other throughout.,swings,take,kicks
78341,v_W5cGKWhOTOU,https://www.youtube.com/watch?v=W5cGKWhOTOU,30.13,57.89," The girl then grabs the left boot, removes the stuff in it, tries it on and stands up to model them.",girl,remove,stuff
49138,v_n9P4ltD0g2k,https://www.youtube.com/watch?v=n9P4ltD0g2k,92.82,117.35, He starts mashing the fruit with a stick.,fruit,with,stick
2149,v_0SmA1cGocz4,https://www.youtube.com/watch?v=0SmA1cGocz4,22.5,107.14," A woman is shown having her hair dried, brushed, and curled by a specialist.",hair,is,curled
62717,v_8kC5L_Iu3KY,https://www.youtube.com/watch?v=8kC5L_Iu3KY,0.09,2.87,A person is seen sitting behind a set of drums playing them consistently.,person,sit behind,drums
50028,v_VcthLhKIntA,https://www.youtube.com/watch?v=VcthLhKIntA,166.78,234.9," The woman lights a hula hoop on fire, dancing with the hoop.",woman,dance with,hoop
49593,v_mhHoL-9mY1E,https://www.youtube.com/watch?v=mhHoL-9mY1E,30.85,42.57, The man takes the top off and sprays the shoes.,man,take off,top
77251,v_9DIDpTlfBWs,https://www.youtube.com/watch?v=9DIDpTlfBWs,0.0,30.98,A chef is standing in front of a table and begins turning on a stove with a pan on it.,chef,stand in front of,table
34994,v_hwP4uLVR-uc,https://www.youtube.com/watch?v=hwP4uLVR-uc,72.79,110.3, Then it's just the drummer banging on the drums.,drummer,bang on,drums
62395,v_ko9efCldvgs,https://www.youtube.com/watch?v=ko9efCldvgs,0.0,3.94,A wooden outdoors stair case is shown outside of a white and brown horse.,stair case,is,wooden
62269,v_ubgCjUUmP9I,https://www.youtube.com/watch?v=ubgCjUUmP9I,100.73,103.95, The spectators cheer for him and the judges shake hands with the gymnast.,gymnast,have,hands
32521,v_96HJ_LqNdkg,https://www.youtube.com/watch?v=96HJ_LqNdkg,0.0,15.03,This girl is doing a video of how to make your white shoes become sparkly clean.,shoes,is,white
60547,v_BxEnhkx2srY,https://www.youtube.com/watch?v=BxEnhkx2srY,6.68,9.13, He takes off running with the high jump stick.,man,with,high jump stick
51773,v_v0mUPr68x2U,https://www.youtube.com/watch?v=v0mUPr68x2U,40.84,86.78," Then a toddler get out the home, stand on the border of the swimming pool an falls in the water.",swimming pool,have,border
54345,v_COIwJdDOmcc,https://www.youtube.com/watch?v=COIwJdDOmcc,39.85,149.44," first the man grab an hiyraulic jack and put it under the car, unscrew the bolts wit a wheel brace and pulls out the wheel and mount the new one, put the screws back again with the wheel brace and tightens.",man,mount,wheel
41593,v_JZDTcGPKw2w,https://www.youtube.com/watch?v=JZDTcGPKw2w,103.52,159.19, childs are in a living room playing in front of a tv and pictues of theirs on the mood are shown.,children,play in front of,tv
7665,v_cTZw5NUK1-c,https://www.youtube.com/watch?v=cTZw5NUK1-c,31.16,103.6, A person is then seen riding a surfboard through various shots in the camera.,surfboard,through,camera
4406,v_F2Igw6lvqwk,https://www.youtube.com/watch?v=F2Igw6lvqwk,40.99,49.39, She finishes by tying up her shoe laces and laughing to herself and the person filming her.,shoe laces,is,tied
15154,v_YAhMxt-3ciU,https://www.youtube.com/watch?v=YAhMxt-3ciU,60.94,73.23, A map of the world is shown.,map,show,world
66645,v_UfYMJBu4HI0,https://www.youtube.com/watch?v=UfYMJBu4HI0,34.85,44.47,Apply the tiles in the same exact direction.,tiles,apply in,direction
51074,v_352jrqIWSFY,https://www.youtube.com/watch?v=352jrqIWSFY,3.35,7.79," One wrestler grabs the other and flips him over his shoulders, then a ref hits the side to tap out.",ref,hit,tap
18440,v_PUI2Qrn0qbE,https://www.youtube.com/watch?v=PUI2Qrn0qbE,16.24,19.82, girl is wearing a leather jacket spining in the bumper car in the amusement car.,girl,spin in,bumper car
40240,v_9qOfesI3bGE,https://www.youtube.com/watch?v=9qOfesI3bGE,73.44,115.66, He is shown with two different accordians as he continues to play.,man,with,accordians
21682,v_UIZkQUo8VtA,https://www.youtube.com/watch?v=UIZkQUo8VtA,0.0,14.61,A truck is seen parked in front of a house with several shots of the house shown.,shots,show,house
9984,v_Bbb8CybvMlk,https://www.youtube.com/watch?v=Bbb8CybvMlk,4.26,43.68, Several different close up shots are shows of wrapped gifts and gift wrapping supplies.,gifts,is,wrapped
67739,v_aYfWH960W0Q,https://www.youtube.com/watch?v=aYfWH960W0Q,25.85,87.0, She continues running and finishes the race while collapsing on the ground in the end and breathing heavily while crying.,woman,run,end
51702,v_8WFB_LUOx4k,https://www.youtube.com/watch?v=8WFB_LUOx4k,0.0,33.06,A camera captures several shots of sites as well as people standing outside drinking and celebrating.,camera,capture,shots
30087,v_QuU6I9w1btI,https://www.youtube.com/watch?v=QuU6I9w1btI,10.37,59.3," The vacuum is being use on the carpet, wooden floor, on the corner, under the table and on the side of the trash can and then the carpet.",vacuum,on,table
8534,v_pibXLs9IOX8,https://www.youtube.com/watch?v=pibXLs9IOX8,90.17,171.75, men are seating on a couch in a living room and are talking to each other and to the camera.,couch,in,living room
42720,v_Isx1Q5wyJZg,https://www.youtube.com/watch?v=Isx1Q5wyJZg,139.21,215.83, A girl enters the jump ropes going extra fast speed and performs fast jumps.,jumps,is,fast
37001,v_rsJUOsr1u3o,https://www.youtube.com/watch?v=rsJUOsr1u3o,16.23,20.66, He bends down to check the flame.,man,check,flame
69426,v_hvCYwmaukDw,https://www.youtube.com/watch?v=hvCYwmaukDw,50.81,60.49," A man grabs a pepsi can and throws it to a sumo and all the sumos run to the cooler, drinks a pepsi, then they're shown walking off with the pepsi cooler.",sumos,drink,pepsi
67561,v_RW-nnJiVPsU,https://www.youtube.com/watch?v=RW-nnJiVPsU,122.4,123.21, He stops and lifts his mask again.,mask,lift,face
17717,v_ki2kGFwczMg,https://www.youtube.com/watch?v=ki2kGFwczMg,30.53,43.17, The javelin thrower runs and throws the javelin and falls to the ground.,javelin,fall to,ground
3390,v_i1llwxnI_Vo,https://www.youtube.com/watch?v=i1llwxnI_Vo,84.43,117.05, There are many restaurants and stores in that town square where people are gathered to see the couples dance.,people,gather to,see
58819,v_lb-TlBtrKcU,https://www.youtube.com/watch?v=lb-TlBtrKcU,157.71,204.82,"After,a row of people are shown and they all begin to shoot their bows and arrows.",bows,shoot,arrows
68696,v_3fg_CB3rBSk,https://www.youtube.com/watch?v=3fg_CB3rBSk,0.0,129.53,kids are in a park around a squarepants bob sponge pi챰ata pulling threads.,bob sponge,is,piata
49963,v_FyxltEKCfZ0,https://www.youtube.com/watch?v=FyxltEKCfZ0,50.98,68.43, We see people making coffee in a coffee shop.,people,make,coffee
46211,v_P0N68OQDhNs,https://www.youtube.com/watch?v=P0N68OQDhNs,87.92,106.19, The man jumps multiple times and goes further each jump.,man,jump,multiple times
74676,v_3w5xIOwFUXU,https://www.youtube.com/watch?v=3w5xIOwFUXU,61.28,131.43, Two men then drink out of ice containers and lead into more people drinking out of the containers.,people,drink out of,containers
66487,v_Yyv8oxrFGV0,https://www.youtube.com/watch?v=Yyv8oxrFGV0,58.82,70.87, The men finish their beers and laugh and applaud one another while many watch on the sides.,men,laugh,applaud
20234,v_NSegylr0MBg,https://www.youtube.com/watch?v=NSegylr0MBg,72.97,112.37, The man adds pomades  to his hair.,man,add,pomades
32300,v_J8Ziy8QR8WQ,https://www.youtube.com/watch?v=J8Ziy8QR8WQ,4.14,35.44, Guys throw balls on a field.,guys,throw,balls
54549,v_kF-J9mKwA8A,https://www.youtube.com/watch?v=kF-J9mKwA8A,10.53,91.25, Other people walk in and out of frame from the boy while he continuously plays the game on the drum.,people,walk out of,frame
80030,v_RrScnC2xQpw,https://www.youtube.com/watch?v=RrScnC2xQpw,115.53,173.73, She lays out a plate to clean off follows by grabbing the cookies and laying them on the plate.,cookies,lay on,plate
72617,v_faF9-lWmK3Y,https://www.youtube.com/watch?v=faF9-lWmK3Y,55.12,71.59, The woman learns down exhausted and turns back to the camera man quickly then back to the tub.,back,to,tub
45273,v_6SHSstpZN1I,https://www.youtube.com/watch?v=6SHSstpZN1I,32.03,37.46, The kids have a hard time turning to come up the dirt track.,kids,turn to,come up
30430,v_lfuNoeRYWz4,https://www.youtube.com/watch?v=lfuNoeRYWz4,8.4,30.97, A woman is shown soaping her hands while water is running in a sink.,woman,is,soaping
4434,v_BhxKjirVF4Y,https://www.youtube.com/watch?v=BhxKjirVF4Y,91.97,106.32, there are several other women who are also biking on the exercise bike with her.,women,is,biking
74484,v_cSfs5ht9sro,https://www.youtube.com/watch?v=cSfs5ht9sro,201.43,205.54, 320 The person's hand comes to the screen to turn off the camera.,hand,come to,screen
1143,v_by4dS4tgkY0,https://www.youtube.com/watch?v=by4dS4tgkY0,38.83,117.43, He runs down the street while continuing to talk.,man,run down,street
29270,v_YoXZfvf5Teg,https://www.youtube.com/watch?v=YoXZfvf5Teg,0.0,5.78,"The intro is a white screen, the website on the top left,the words Howcast original appear and afterwards another set of words describing the lesson appear and it reads Vibrato Beginner Violin Lessons.",words,on right side of,website
77871,v_bTlfN4vJkiY,https://www.youtube.com/watch?v=bTlfN4vJkiY,0.0,5.26,A young boy is wearing a bandana and mowing a large yard.,boy,mow,yard
73867,v_xSiT1pgUEm8,https://www.youtube.com/watch?v=xSiT1pgUEm8,156.62,176.49, They are trying hard to stay afloat in the turbulent water as the boat gets bumpy sailing through the rapids.,people,try to stay afloat in,water
78726,v_mb2fWzNSob0,https://www.youtube.com/watch?v=mb2fWzNSob0,40.19,83.39," A man got off from his truck, the other man pulled the bull off of his truck, the bull are tied on a poles.",man,pull,bull
10957,v_ZgIKmwnCqr4,https://www.youtube.com/watch?v=ZgIKmwnCqr4,4.99,11.96,"Behind her,a lady is holding up the baby and assisting her as she hits the pinata.",lady,assist,woman
32586,v_SX075xQ0j6c,https://www.youtube.com/watch?v=SX075xQ0j6c,15.09,19.08, We see a teacher teaching a boy to knit.,boy,knit,knitting
52882,v_xg0OCQW8t2s,https://www.youtube.com/watch?v=xg0OCQW8t2s,12.75,67.13, It is turned on and starts going in circles around the rope mowing the lawn.,mower,is,around
41829,v_N6y3yXiVo24,https://www.youtube.com/watch?v=N6y3yXiVo24,1.4,5.61,  A little girl/toddler in a lime green hair bow and tutu stands outside under a tree and hits a pinata with a stick.,girl,stand outside under,tree
54273,v_9mF5s6_dTlk,https://www.youtube.com/watch?v=9mF5s6_dTlk,20.21,41.73," He taps a paper, continuously, on a iron type tool and brushes the paper against a long piece of wood.",wood,is,long
66220,v_JFVZdzzJVr8,https://www.youtube.com/watch?v=JFVZdzzJVr8,0.0,12.24,Two men are next to the table wearing blue shirts and welding helmets.,men,wear,welding helmets
59658,v_b_iUgvzb1-0,https://www.youtube.com/watch?v=b_iUgvzb1-0,0.0,27.56,A woman bends forward extending her left left arm on front and raising her leg up while having the right hand over her shoulder.,woman,extend,left arm
40551,v_MeGHSbUpM-U,https://www.youtube.com/watch?v=MeGHSbUpM-U,96.34,200.72, They speed through the water to catch up with another boat that is ahead of them.,boat,catch up with,boat
16816,v_5YsdlM3Stjo,https://www.youtube.com/watch?v=5YsdlM3Stjo,9.77,32.32, A woman in a green shirt and brown boots walks in and begins scrubbing the horse.,woman,wear,boots
33112,v_UgrOTFBD7tA,https://www.youtube.com/watch?v=UgrOTFBD7tA,191.41,202.55, Clouds move over a mountain range at sunset.,clouds,at,sunset
46897,v_0PLaN0hmMDY,https://www.youtube.com/watch?v=0PLaN0hmMDY,1.17,18.78,A person holds a ring in a small box.,ring,in,box
57289,v_jQU4NYJzxco,https://www.youtube.com/watch?v=jQU4NYJzxco,0.0,71.91,There are two children standing at a double stainless steel sink in a residential home.,home,is,residential
36929,v_dbLtukGqkhI,https://www.youtube.com/watch?v=dbLtukGqkhI,45.56,64.3, There are many kites in the sky around them.,kites,around,them
24556,v_g_qHPA0RkAY,https://www.youtube.com/watch?v=g_qHPA0RkAY,46.29,69.68, She draws a face on the outside before using a knife to begin carving out the face of her pumpkin.,face,on,outside
65645,v_0UR4hXxt68E,https://www.youtube.com/watch?v=0UR4hXxt68E,191.21,203.69, The group of cheerleader end their routine and jump up and down before bowing to the crowd.,cheerleaders,end,routine
21118,v_dN14VPSHimI,https://www.youtube.com/watch?v=dN14VPSHimI,0.0,33.3,a man is riding a horse in a rodeo and catch a bull while in stands people are watching them andother man in a hse are on side of the court.,bull,in,stands
40061,v_gLsHOCeeVUM,https://www.youtube.com/watch?v=gLsHOCeeVUM,0.0,91.63,A girl is seen speaking to the camera and leads into her holding bottles and washing her face.,girl,lead into,face
13124,v_jRj8deMhPrQ,https://www.youtube.com/watch?v=jRj8deMhPrQ,5.57,30.3, People are skating on an ice rink.,people,skate on,ice rink
42409,v_RhsCYNiAaV8,https://www.youtube.com/watch?v=RhsCYNiAaV8,189.0,198.29, A van is then driving down the road.,van,drive down,road
61733,v_zvAlL20-K4w,https://www.youtube.com/watch?v=zvAlL20-K4w,68.37,87.02, Several more athletes are shown stepping up to the platform throwing the shot put and ending with a man in a hat speaking to the audience.,man,speak to,audience
1095,v_F9HKxxoNNSQ,https://www.youtube.com/watch?v=F9HKxxoNNSQ,0.0,14.31,"A person throw a disc with a stick, the disc arrives to a triangle on the floor where two people stand.",people,stand on,floor
75470,v_fsSCNCY0iQY,https://www.youtube.com/watch?v=fsSCNCY0iQY,0.0,14.92,A standing Asian woman wearing makeup is talking to a bunch of sitting Asian women who have no make up on their faces.,women,is,sitting
1549,v_59mz2Nd8GM0,https://www.youtube.com/watch?v=59mz2Nd8GM0,76.9,222.91," He puts the sandwich into a skillet that's on the stove for a little bit, and then he puts the sandwich on a white square shaped plate, which I'm guessing he ate.",plate,is,square
62702,v__vbwjI1QA7g,https://www.youtube.com/watch?v=_vbwjI1QA7g,0.0,8.7,man is standing in a room with dart game haging on the wall.,dart game,hang on,wall
2957,v_Sw7iRtHxMSs,https://www.youtube.com/watch?v=Sw7iRtHxMSs,16.8,20.88, A young man in black puts two shot glasses down on the table.,shot glasses,is,2
77412,v_s1WQ4zNikKA,https://www.youtube.com/watch?v=s1WQ4zNikKA,0.0,53.18,A camera pans around a shower and zooms in on a person shaving their legs.,camera,pan around,shower
55884,v_ma0HmFqdFqg,https://www.youtube.com/watch?v=ma0HmFqdFqg,0.0,34.9,A woman is seen wiping down a mirror that leads into her standing behind a counter.,mirror,is,standing
22364,v_R7vb6cuP6GE,https://www.youtube.com/watch?v=R7vb6cuP6GE,30.09,73.24, The man continues riding the snowboard down the hill and ends with him stopping at the bottom.,man,ride,snowboard
22827,v_4BRCZaaITn0,https://www.youtube.com/watch?v=4BRCZaaITn0,22.71,25.66, He turns at the driveway and returns again.,man,turn at,driveway
79038,v_b1PAqOmflgI,https://www.youtube.com/watch?v=b1PAqOmflgI,0.17,33.85,A boy in a blue t-shirt bounces two basketballs in a gym while blocking another basketball player and making a goal with the ball.,boy,with,ball
75637,v_JjRSGzdwtc0,https://www.youtube.com/watch?v=JjRSGzdwtc0,91.54,152.57, The group continue dancing and jumping around public places and ends with a baby holding a rope.,group,is,public
25043,v_Nc71GzZhAHE,https://www.youtube.com/watch?v=Nc71GzZhAHE,0.0,38.38, a sign to a sugar mountain is shown and peolpe practicing snowboard.,mountain,is,sugar
50290,v_ptY-0n53uq0,https://www.youtube.com/watch?v=ptY-0n53uq0,30.54,80.24, He is playing a large drum set while wearing headphones.,drum set,is,set
15011,v_IqRwR1a9ia0,https://www.youtube.com/watch?v=IqRwR1a9ia0,0.0,16.78,A man wearing a construction hard hat applies plaster to a wall using a hand held flat edge.,hard hat,is,flat
47434,v_E4PIKUW4v0k,https://www.youtube.com/watch?v=E4PIKUW4v0k,32.3,46.63, People pass on front the woman and the man.,people,pass in front of,man
38336,v_C3BBG_9Vo48,https://www.youtube.com/watch?v=C3BBG_9Vo48,22.06,24.17,"  Next she adds 1 teaspoon of vanilla extract and she mixes everything up, then she adds 1 1/4 cups of all purpose flour along with 1/4 cup of unsweetened cocoa powder and salt.",cocoa powder,is,14
11062,v_LwJFjFdJy5c,https://www.youtube.com/watch?v=LwJFjFdJy5c,9.93,24.83, A dog is seen running up and down the field in the middle of the audience.,dog,in middle of,audience
6741,v_HtuDZLsOK6M,https://www.youtube.com/watch?v=HtuDZLsOK6M,0.0,30.22,Various shots of scenery are shown and leads to a person scratching a dog and pulling a rope.,person,scratch,dog
11994,v_I-C_fOUaknA,https://www.youtube.com/watch?v=I-C_fOUaknA,0.0,9.0,A man places a tile onto the floor and pushes it down.,man,push,tile
22538,v_aR05GUXDiYg,https://www.youtube.com/watch?v=aR05GUXDiYg,0.0,63.84,A male player in yellow and black shirt is carrying a small kid who is wearing the same shirt while they are being interviewed by the reporter who is wearing white shirt and holding a microphone.,reporter,hold,microphone
39456,v_RLdlDewtKbE,https://www.youtube.com/watch?v=RLdlDewtKbE,97.41,100.94, The results of the game a then shown on the screen.,results,show on,screen
33569,v_2gc5VDx2xY8,https://www.youtube.com/watch?v=2gc5VDx2xY8,4.34,12.14,  He swings the tassel in the air a few times and throws it catching the cow and then tying him down.,cow,tie down,cow
25102,v_9peoWGfb9jc,https://www.youtube.com/watch?v=9peoWGfb9jc,1.14,26.16,A man is seen putting tape on a set of skis on each end and begins rubbing wax on the ski.,man,put,tape
5900,v_bNuRrXSjJl0,https://www.youtube.com/watch?v=bNuRrXSjJl0,0.0,122.39,A woman is seen standing ready on a diving board and leads into her holding out her arms and performing an impressive dive.,woman,perform,dive
53179,v_3cmHM1Yu92s,https://www.youtube.com/watch?v=3cmHM1Yu92s,15.84,55.45, The video shows several different perks the machine can do while the woman continues to work.,video,show,
43618,v_i-G50GikqTg,https://www.youtube.com/watch?v=i-G50GikqTg,117.43,129.75, He gives a thumbs up and peace sign.,peace sign,give,thumbs up
23447,v_w69pipCSlM4,https://www.youtube.com/watch?v=w69pipCSlM4,0.0,8.81,The skier adjusts the rope with his red and black skis extending in front of him over the water as he prepares to ski.,skis,extend over,water
33258,v_9MGnF59gZfM,https://www.youtube.com/watch?v=9MGnF59gZfM,77.6,107.78,"  He continues this routine over and over, practicing for perfection.",man,practice for,perfection
25600,v_PZjWkB_q2lE,https://www.youtube.com/watch?v=PZjWkB_q2lE,201.52,225.16, They walk into a garage and inspect the cars.,people,inspect,cars
22858,v__BJqPK0NNZU,https://www.youtube.com/watch?v=_BJqPK0NNZU,35.06,49.67, A woman is stretching behind the net.,woman,stretch behind,net
56055,v_kuyuhXuMPX4,https://www.youtube.com/watch?v=kuyuhXuMPX4,17.99,31.32, We then see his shoveling supplies.,shovel,is,supplies
80587,v_COeXmBZpLSE,https://www.youtube.com/watch?v=COeXmBZpLSE,65.96,110.85, The man picks her up and twirls her around the music and ends with audience clapping.,man,end with,audience
30657,v_KJQi_5e72lM,https://www.youtube.com/watch?v=KJQi_5e72lM,170.79,213.22, Finally he uses a soft brush and runs it over the ski once more .,brush,run over,ski
19490,v_huI9TvxZxmM,https://www.youtube.com/watch?v=huI9TvxZxmM,59.03,86.93," They work very well together, he picks her up on his shoulders.",people,work,together
67520,v_lXueRLwe3tk,https://www.youtube.com/watch?v=lXueRLwe3tk,9.85,121.95,The man in blue shirt is holding a white spray bottle with green and black lid on it.,man,hold,spray bottle
18971,v_VyD5Z0S9tXU,https://www.youtube.com/watch?v=VyD5Z0S9tXU,3.49,30.74,  The man talks to the camera and begins to peel the potato with the peeler peeling of slices of skin and gesturing at the table.,peeler,gesture at,table
40468,v_DyVqsDJYXdM,https://www.youtube.com/watch?v=DyVqsDJYXdM,4.24,11.67, They players in the cricket game are shown celebrating and interacting with one another.,cricket players,is,3
10966,v_sTMbpIfI-6o,https://www.youtube.com/watch?v=sTMbpIfI-6o,39.81,150.23," She adds the soda and lime slices to the glasses, squeezing the juice into the liquid before taking a drink.",slices,,
69891,v_szdKUpvx9Sk,https://www.youtube.com/watch?v=szdKUpvx9Sk,144.75,167.34, Two men cheer and throw their fists in the air and the me laugh and cheer and walk.,me,cheer,
42869,v_TxxUmibEy9Q,https://www.youtube.com/watch?v=TxxUmibEy9Q,0.0,18.92,A woman is standing and walking inside a store.,woman,walk inside,store
37821,v_78je-JBAqxQ,https://www.youtube.com/watch?v=78je-JBAqxQ,98.96,118.52," A blonde woman watches as a man wins the game, hugging the woman next to him.",woman,watch,game
7106,v_Deo_GsHyw8Y,https://www.youtube.com/watch?v=Deo_GsHyw8Y,15.47,40.21, Demonstrating what and how you would use it on the ski's.,ski,on,face
62132,v_XsqslHC79FQ,https://www.youtube.com/watch?v=XsqslHC79FQ,5.95,229.72, She strings the violin with her left hand while she uses the bow stick with her right hand.,left hand,string,violin
47494,v_YeNlYRWhFzE,https://www.youtube.com/watch?v=YeNlYRWhFzE,40.19,136.42, One man is then interviewed by the cameraman and is shown again riding large waves in the ocean.,man,is,interviewed by
45788,v_-rKS00dzFxQ,https://www.youtube.com/watch?v=-rKS00dzFxQ,168.95,177.05, The man grabs some pepper and throws it onto the potatoes.,man,throw,pepper
